Date,Roll No,Department,Programme,Entry Time,Exit Time
2024-12-19,EDM20259,Education,M. A. in Education,18:43,01:06
2025-12-17,LLP24150,Linguistics and Language Technology,Ph.D. in Linguistics and Language Technology,23:37,03:00
2026-03-05,EGE22235,English,M. A. in English,10:47,18:13
2026-04-14,HIM22084,Hindi,M. A. in Hindi,23:41,03:00
2025-10-31,FLB20221,Linguistics and Language Technology,BA in Chinese,10:18,15:10
2026-04-20,CSE25114,Computer Science & Engineering,M. Tech. in Data Science,11:57,18:48
2025-10-14,SWP25079,Social Work,Ph.D. in Social Work,10:00,14:18
2024-08-23,MCP22112,Mass Communication & Journalism,Ph.D. in Mass Communication & Journalism,21:10,00:09
2025-02-12,CSP23239,Computer Science & Engineering,Ph.D. in Computer Science & Engineering,22:21,23:38
2025-08-10,MSI25234,Mathematical Sciences,Integrated M. Sc. in Mathematics,15:33,20:16
2024-12-24,ECS20085,Electronics & Communication Engineering,M. Tech. in Semiconductor Technology,12:17,14:21
2026-04-12,MCP20107,Mass Communication & Journalism,Ph.D. in Mass Communication & Journalism,10:10,14:37
2026-01-01,PHP21201,Physics,Ph.D. in Physics,00:30,03:00
2024-09-21,MCP21275,Mass Communication & Journalism,Ph.D. in Mass Communication & Journalism,15:27,20:05
2024-12-08,WSP21105,Women Study,Ph.D. in Women Study,10:34,15:53
2025-09-22,CHM23087,Chemical Sciences,M. Sc. in Chemistry,01:52,03:00
2025-09-01,ECB25296,Electronics & Communication Engineering,B. Tech. in Electronics and Comm. Engineering,16:14,22:13
2024-12-27,SOM21094,Sociology,M.A. in Sociology,15:37,22:48
2025-10-21,ASP22299,Assamese,Ph.D. in Assamese,01:31,03:00
2024-05-04,EEB20265,Electrical Engineering,B. Tech. in Electrical Engineering,22:16,01:16
2026-01-14,EEP20274,Electrical Engineering,Ph.D. in Electrical Engineering,11:27,14:08
2024-05-30,EDM22210,Education,M. A. in Education,22:42,02:52
2024-11-10,EEP22035,Electrical Engineering,Ph.D. in Electrical Engineering,21:15,22:26
2026-01-28,FET22096,Food Engineering & Technology,M. Tech. in Food Engineering & Technology,23:23,03:00
2025-10-11,MSP25004,Mathematical Sciences,Ph.D. in Mathematical Sciences,11:56,18:43
2025-01-04,MSM23218,Mathematical Sciences,M. Sc. in Mathematics,22:43,03:00
2025-06-22,BAP21032,Business Administration,Ph.D. in Business Administration,13:23,14:02
2024-12-30,EDP22251,Education,Ph.D. in Education,10:27,16:07
2024-05-04,BAM21258,Business Administration,Master of Business Administration,21:54,01:54
2026-02-09,MEP23212,Mechanical Engineering,Ph.D. in Mechanical Engineering,21:48,03:00
2025-01-14,ECP21111,Electronics & Communication Engineering,Ph.D. in Electronics & Communication Engineering,22:21,03:00
2026-04-22,MRP24117,Multidisciplinary Research,Ph.D. in Multidisciplinary Research,16:49,20:25
2024-12-14,COP24206,Commerce,Ph.D. in Commerce,18:37,19:53
2026-03-19,EGL24013,Linguistics and Language Technology,M. A. in Linguistics & Languages Technology,12:58,15:31
2025-08-04,CHM24270,Chemical Sciences,M. Sc. in Chemistry,18:28,19:46
2024-06-21,EDP20006,Education,Ph.D. in Education,13:32,14:58
2025-10-06,MEB25036,Mechanical Engineering,B. Tech. in Mechanical Engineering,23:04,01:33
2025-10-22,BAT24103,Business Administration,Master of Tourism & Travel Management,12:09,16:14
2025-11-25,MCP22112,Mass Communication & Journalism,Ph.D. in Mass Communication & Journalism,20:42,03:00
2025-12-15,LAP25185,Law,Ph.D. in Law,21:18,00:26
2025-08-18,ECB25296,Electronics & Communication Engineering,B. Tech. in Electronics and Comm. Engineering,14:28,18:49
2025-08-23,MEP24125,Mechanical Engineering,Ph.D. in Mechanical Engineering,19:29,20:04
2024-11-13,ESE20233,Environmental Sciences,M. Sc. in Environmental Science,11:25,14:17
2024-10-30,SOP21090,Sociology,Ph.D. in Sociology,13:34,17:17
2025-09-16,CSE25092,Computer Science & Engineering,M. Tech. in Data Science,11:16,13:20
2025-07-18,HIM23113,Hindi,M. A. in Hindi,00:38,03:00
2024-08-31,MBM24277,Molecular Biology & Biotechnology,M. Sc. in Molecular Biology and Biotechnology,09:03,12:31
2025-11-28,CSB21015,Computer Science & Engineering,B. Tech. in Computer Science and Engineering,13:56,20:56
2025-04-14,BAM23180,Business Administration,Master of Business Administration,15:56,22:39
2025-10-28,BAM23180,Business Administration,Master of Business Administration,15:52,21:44
2025-07-28,LAP20040,Law,Ph.D. in Law,15:07,17:32
2025-11-25,EEP22071,Electrical Engineering,Ph.D. in Electrical Engineering,10:38,13:52
2024-12-13,ESE21051,Environmental Sciences,M. Sc. in Environmental Science,11:22,13:59
2024-10-12,ECD20189,Electronics & Communication Engineering,M. Tech in Bioelectronics,15:38,21:54
2025-02-09,SOM24143,Sociology,M.A. in Sociology,14:22,17:21
2025-12-11,ECP21111,Electronics & Communication Engineering,Ph.D. in Electronics & Communication Engineering,16:29,23:25
2025-04-04,LLP20138,Linguistics and Language Technology,Ph.D. in Linguistics and Language Technology,15:49,18:44
2025-05-09,CTP23171,Cultural Studies,Ph.D. in Cultural Studies,16:31,22:41
2024-11-16,MSI20156,Mathematical Sciences,Integrated M. Sc. in Mathematics,16:48,19:26
2026-03-12,FEP25127,Food Engineering & Technology,Ph.D. in Food Engineering & Technology,01:18,03:00
2025-12-01,BAM21273,Business Administration,Master of Business Administration,14:04,16:49
2026-01-07,LAP22204,Law,Ph.D. in Law,19:55,02:13
2024-05-14,BAM20295,Business Administration,MBA (Executive) – Online/Part -time,23:41,03:00
2025-08-09,PHP23245,Physics,Ph.D. in Physics,12:38,17:46
2024-06-18,MEM20045,Mechanical Engineering,M. Tech in Mechanical Engineering,09:01,16:19
2025-03-06,EDM23216,Education,M. A. in Education,02:18,03:00
2025-03-09,MSM20132,Mathematical Sciences,M. Sc. in Mathematics,12:43,17:13
2026-03-05,CTP24263,Cultural Studies,Ph.D. in Cultural Studies,18:38,00:10
2025-01-15,EGP20243,English,Ph.D. in English,18:28,00:30
2025-03-27,MSP22179,Mathematical Sciences,Ph.D. in Mathematical Sciences,01:13,03:00
2025-05-30,EGP20243,English,Ph.D. in English,12:32,19:43
2025-06-29,CHB20055,Chemical Sciences,Integrated B.Sc.B.Ed. (Chemistry Major),17:08,23:45
2026-04-19,EDE25291,Education,M. Ed.,00:54,03:00
2025-08-02,DEM22034,Design,Master of Design,00:03,03:00
2025-11-13,MCM23048,Mass Communication & Journalism,M. A. in Mass Communication & Journalism,15:10,15:54
2024-08-09,CHB20055,Chemical Sciences,Integrated B.Sc.B.Ed. (Chemistry Major),00:50,03:00
2025-05-22,CHM21095,Chemical Sciences,M. Sc. in Chemistry,15:51,22:15
2025-12-21,MSI20156,Mathematical Sciences,Integrated M. Sc. in Mathematics,21:02,01:50
2025-12-17,MCP21275,Mass Communication & Journalism,Ph.D. in Mass Communication & Journalism,15:14,16:51
2026-03-20,MSI25234,Mathematical Sciences,Integrated M. Sc. in Mathematics,12:25,13:18
2024-10-16,BAP20241,Business Administration,Ph.D. in Business Administration,09:48,17:10
2025-01-11,EDB20226,Education,B. Ed.,23:48,03:00
2025-08-03,CEM25182,Civil Engineering,M. Tech. in Civil Engineering,10:45,12:28
2025-05-12,CSB21015,Computer Science & Engineering,B. Tech. in Computer Science and Engineering,20:45,03:00
2025-10-28,CHB20055,Chemical Sciences,Integrated B.Sc.B.Ed. (Chemistry Major),22:04,03:00
2024-09-03,CHM23229,Chemical Sciences,M. Sc. in Chemistry,09:53,16:47
2024-12-16,PHM21196,Physics,M. Sc. in Physics,00:39,03:00
2025-05-14,MSM24200,Mathematical Sciences,M. Sc. in Mathematics,21:00,00:26
2026-04-01,PHP21201,Physics,Ph.D. in Physics,17:21,22:47
2025-06-19,EGI22108,English,Integrated M.A. in English,02:13,03:00
2025-09-10,FEP25127,Food Engineering & Technology,Ph.D. in Food Engineering & Technology,01:33,03:00
2025-01-29,SOM24293,Sociology,M.A. in Sociology,15:53,22:33
2024-06-04,MSP22179,Mathematical Sciences,Ph.D. in Mathematical Sciences,19:35,23:56
2024-12-27,EGI21283,English,Integrated M.A. in English,13:32,16:29
2025-12-26,ECB25296,Electronics & Communication Engineering,B. Tech. in Electronics and Comm. Engineering,15:15,16:19
2026-02-10,EGI21283,English,Integrated M.A. in English,09:20,13:49
2026-04-23,ENE24194,Energy,M. Tech in Energy Technology,10:01,13:13
2025-12-09,CHP24193,Chemical Sciences,Ph.D. in Chemical Sciences,16:55,22:01
2025-04-25,EEP23236,Electrical Engineering,Ph.D. in Electrical Engineering,19:43,02:33
2025-06-29,MCP21098,Mass Communication & Journalism,Ph.D. in Mass Communication & Journalism,00:06,00:41
2025-12-29,EDM20259,Education,M. A. in Education,17:47,23:53
2025-02-02,SOP22027,Sociology,Ph.D. in Sociology,23:10,03:00
2024-07-15,ECP21111,Electronics & Communication Engineering,Ph.D. in Electronics & Communication Engineering,02:28,03:00
2026-03-28,MEM20045,Mechanical Engineering,M. Tech in Mechanical Engineering,09:16,15:57
2025-08-19,ESP25214,Environmental Sciences,Ph.D. in Environmental Sciences,09:28,16:27
2025-09-24,SWP25079,Social Work,Ph.D. in Social Work,21:08,23:06
2026-03-11,MSB21082,Mathematical Sciences,Integrated B.Sc.B.Ed. (Mathematics Major),18:17,22:20
2025-04-16,BAT22148,Business Administration,Master of Tourism & Travel Management,17:07,22:18
2025-05-11,ASM23284,Assamese,M.A. in Assamese,02:22,03:00
2024-12-03,HIP20165,Hindi,Ph.D. in Hindi,16:45,18:41
2025-09-09,MBM23264,Molecular Biology & Biotechnology,M. Sc. in Molecular Biology and Biotechnology,11:28,13:46
2024-11-27,COP24039,Commerce,Ph.D. in Commerce,15:44,21:27
2025-05-02,MBM24277,Molecular Biology & Biotechnology,M. Sc. in Molecular Biology and Biotechnology,11:08,15:31
2026-04-28,EDM20101,Education,M. A. in Education,14:56,16:52
2024-07-17,EEP20135,Electrical Engineering,Ph.D. in Electrical Engineering,10:30,15:31
2025-12-31,SOP24062,Sociology,Ph.D. in Sociology,17:22,22:19
2026-01-26,ASP22299,Assamese,Ph.D. in Assamese,12:41,17:22
2026-04-27,EDT21297,Electronics & Communication Engineering,M. Tech. in Electronics Design & Technology,23:53,03:00
2025-04-01,BAM23104,Business Administration,MBA (Executive) – Online/Part -time,21:40,00:02
2024-09-26,APP21184,Applied Sciences,Ph.D. in Applied Sciences,11:18,15:58
2026-02-01,MRP25163,Multidisciplinary Research,Ph.D. in Multidisciplinary Research,16:51,21:21
2026-04-04,SWM20161,Social Work,M. A. in Social Work,20:47,01:07
2025-05-27,BAP24091,Business Administration,Ph.D. in Business Administration,13:33,20:56
2026-02-14,FET25012,Food Engineering & Technology,M. Tech. in Food Engineering & Technology,01:35,03:00
2025-03-18,EDB24211,Education,B. Ed.,20:31,02:42
2025-10-24,EDT25237,Electronics & Communication Engineering,M. Tech. in Electronics Design & Technology,23:12,03:00
2025-03-08,BAM20070,Business Administration,MBA (Executive) – Online/Part -time,22:36,01:33
2024-05-24,SOM22025,Sociology,M.A. in Sociology,17:22,22:29
2025-11-14,FET25012,Food Engineering & Technology,M. Tech. in Food Engineering & Technology,19:24,02:07
2024-08-28,MSI20156,Mathematical Sciences,Integrated M. Sc. in Mathematics,15:49,17:45
2026-02-10,EGE24099,English,M. A. in English,14:53,21:07
2025-07-03,FEB20140,Food Engineering & Technology,B. Tech. in Food Engineering and Technology,17:51,19:22
2025-01-19,CSM22121,Computer Science & Engineering,Master of Computer Application  (MCA),23:11,01:15
2024-06-23,ECS20085,Electronics & Communication Engineering,M. Tech. in Semiconductor Technology,01:35,03:00
2024-06-02,PHP23083,Physics,Ph.D. in Physics,09:26,10:07
2025-01-09,SOP21090,Sociology,Ph.D. in Sociology,11:29,14:35
2025-10-21,FET22096,Food Engineering & Technology,M. Tech. in Food Engineering & Technology,11:15,17:41
2026-02-24,WSP23067,Women Study,Ph.D. in Women Study,10:37,13:41
2025-07-14,ASP22299,Assamese,Ph.D. in Assamese,15:24,20:15
2026-04-20,MCP24253,Mass Communication & Journalism,Ph.D. in Mass Communication & Journalism,18:27,22:30
2026-01-14,LLP25002,Linguistics and Language Technology,Ph.D. in Linguistics and Language Technology,17:12,21:38
2025-07-16,CHM21095,Chemical Sciences,M. Sc. in Chemistry,02:00,03:00
2024-12-24,HIP20165,Hindi,Ph.D. in Hindi,12:29,15:25
2025-09-01,DEM21017,Design,Master of Design,10:43,16:36
2025-07-16,MSB21082,Mathematical Sciences,Integrated B.Sc.B.Ed. (Mathematics Major),11:40,12:18
2025-01-22,PHP23122,Physics,Ph.D. in Physics,22:04,22:56
2025-12-21,CTM25173,Cultural Studies,M.A. in Cultural Studies,00:14,01:16
2026-03-15,ENE24152,Energy,M. Tech in Energy Technology,22:41,02:44
2024-10-28,HIM20093,Hindi,M. A. in Hindi,14:16,20:48
2026-04-27,HIP20165,Hindi,Ph.D. in Hindi,12:11,18:33
2025-10-13,MCM23223,Mass Communication & Journalism,M. A. in Mass Communication & Journalism,16:35,19:45
2025-05-01,CHM23087,Chemical Sciences,M. Sc. in Chemistry,18:18,19:35
2024-10-30,FLB21260,Linguistics and Language Technology,BA in Chinese,15:52,23:39
2025-07-13,BAT21215,Business Administration,Master of Tourism & Travel Management,10:38,18:37
2025-10-28,CSP25197,Computer Science & Engineering,Ph.D. in Computer Science & Engineering,13:48,14:25
2025-05-26,LLP23023,Linguistics and Language Technology,Ph.D. in Linguistics and Language Technology,14:03,16:27
2025-06-01,MEP22142,Mechanical Engineering,Ph.D. in Mechanical Engineering,00:21,03:00
2024-09-20,EGL22151,Linguistics and Language Technology,M. A. in Linguistics & Languages Technology,21:37,23:37
2024-09-20,CSE22231,Computer Science & Engineering,M. Tech. in Data Science,18:48,22:31
2024-05-07,DEM21290,Design,Master of Design,14:02,15:38
2025-07-26,EEB24224,Electrical Engineering,B. Tech. in Electrical Engineering,02:17,03:00
2026-02-10,FEB20005,Food Engineering & Technology,B. Tech. in Food Engineering and Technology,11:05,11:42
2025-12-02,CTM25187,Cultural Studies,M.A. in Cultural Studies,10:34,14:59
2024-05-13,CTP23171,Cultural Studies,Ph.D. in Cultural Studies,14:51,17:55
2025-03-25,CTP24263,Cultural Studies,Ph.D. in Cultural Studies,15:33,18:38
2025-02-21,BAP21032,Business Administration,Ph.D. in Business Administration,09:28,10:10
2026-04-06,CSE25114,Computer Science & Engineering,M. Tech. in Data Science,13:23,19:18
2025-07-02,MCM24137,Mass Communication & Journalism,M. A. in Mass Communication & Journalism,09:46,14:18
2024-12-10,MSP20073,Mathematical Sciences,Ph.D. in Mathematical Sciences,15:57,21:24
2025-10-10,CHI23232,Chemical Sciences,Integrated M.Sc. in Chemistry,16:55,23:09
2025-07-13,DEM21017,Design,Master of Design,19:49,01:21
2024-11-28,MSB22162,Mathematical Sciences,Integrated B.Sc.B.Ed. (Mathematics Major),21:48,23:42
2025-11-08,MSM25267,Mathematical Sciences,M. Sc. in Mathematics,23:48,02:12
2025-04-20,PHP21201,Physics,Ph.D. in Physics,18:02,22:15
2024-09-17,ENE24069,Energy,M. Tech in Energy Technology,19:49,00:03
2025-06-09,ENP20281,Energy,Ph.D. in Energy,14:20,16:17
2025-02-27,ASM23199,Assamese,M.A. in Assamese,15:37,20:36
2025-06-19,MSM24200,Mathematical Sciences,M. Sc. in Mathematics,11:13,17:10
2026-04-16,LLP23023,Linguistics and Language Technology,Ph.D. in Linguistics and Language Technology,15:10,20:33
2025-08-03,ECB25001,Electronics & Communication Engineering,B. Tech. in Electronics and Comm. Engineering,11:37,18:16
2025-06-03,PHM20115,Physics,M. Sc. in Physics,22:44,03:00
2025-09-13,HIM20022,Hindi,M. A. in Hindi,19:19,23:19
2025-08-21,MBM24277,Molecular Biology & Biotechnology,M. Sc. in Molecular Biology and Biotechnology,14:01,19:36
2026-03-13,BAT21166,Business Administration,Master of Tourism & Travel Management,17:39,20:42
2024-06-24,COP21145,Commerce,Ph.D. in Commerce,16:12,17:30
2025-09-09,CHP24119,Chemical Sciences,Ph.D. in Chemical Sciences,23:48,03:00
2026-01-25,MSB25063,Mathematical Sciences,Integrated B.Sc.B.Ed. (Mathematics Major),21:39,03:00
2026-04-18,ENP23158,Energy,Ph.D. in Energy,21:27,03:00
2025-02-12,EEB20265,Electrical Engineering,B. Tech. in Electrical Engineering,23:49,02:31
2024-06-20,EEB20265,Electrical Engineering,B. Tech. in Electrical Engineering,21:41,03:00
2026-01-08,MEP25024,Mechanical Engineering,Ph.D. in Mechanical Engineering,23:05,03:00
2024-12-26,CTP24263,Cultural Studies,Ph.D. in Cultural Studies,14:23,21:05
2026-01-10,ECB24054,Electronics & Communication Engineering,B. Tech. in Electronics and Comm. Engineering,01:46,03:00
2026-02-01,ENP21038,Energy,Ph.D. in Energy,18:08,22:14
2025-11-15,BAM23180,Business Administration,Master of Business Administration,15:14,18:03
2026-02-26,MBM23264,Molecular Biology & Biotechnology,M. Sc. in Molecular Biology and Biotechnology,19:12,00:05
2025-03-26,ASP22299,Assamese,Ph.D. in Assamese,18:09,00:13
2025-11-10,MCP24253,Mass Communication & Journalism,Ph.D. in Mass Communication & Journalism,01:55,03:00
2024-09-05,BAM22052,Business Administration,Certificate in NSE Academy Certified Capital Market,17:37,21:25
2026-02-06,CSP25197,Computer Science & Engineering,Ph.D. in Computer Science & Engineering,23:52,03:00
2025-09-13,HIM22084,Hindi,M. A. in Hindi,00:53,03:00
2025-06-01,DEP21240,Design,Ph.D. in Design,12:47,17:16
2025-05-07,EEB20265,Electrical Engineering,B. Tech. in Electrical Engineering,09:51,16:50
2025-06-08,PHM21075,Physics,M. Sc. in Physics,15:35,16:48
2025-02-18,ESE21051,Environmental Sciences,M. Sc. in Environmental Science,19:53,23:10
2025-10-02,EDT25262,Electronics & Communication Engineering,M. Tech. in Electronics Design & Technology,09:20,14:09
2024-10-22,PHB20269,Physics,Integrated B.Sc.B.Ed. (Physics Major),17:23,20:14
2025-10-22,LLP20138,Linguistics and Language Technology,Ph.D. in Linguistics and Language Technology,20:44,21:53
2026-03-25,EEB20265,Electrical Engineering,B. Tech. in Electrical Engineering,16:09,17:56
2026-04-19,EGP20243,English,Ph.D. in English,11:49,14:27
2025-11-10,ECB25296,Electronics & Communication Engineering,B. Tech. in Electronics and Comm. Engineering,00:57,03:00
2026-04-12,EDE23249,Education,M. Ed.,09:40,12:36
2025-01-30,EEP20274,Electrical Engineering,Ph.D. in Electrical Engineering,16:44,20:00
2024-09-04,MCM24029,Mass Communication & Journalism,M. A. in Mass Communication & Journalism,19:22,23:45
2025-09-04,HIM22084,Hindi,M. A. in Hindi,15:16,23:15
2025-08-02,MCM23048,Mass Communication & Journalism,M. A. in Mass Communication & Journalism,02:15,03:00
2025-11-29,FLB23228,Linguistics and Language Technology,BA in Chinese,17:41,20:28
2025-08-15,SOM24060,Sociology,M.A. in Sociology,14:20,21:17
2024-07-21,SWM20161,Social Work,M. A. in Social Work,12:40,19:34
2025-06-07,CSM21168,Computer Science & Engineering,Master of Computer Application  (MCA),15:48,22:51
2025-02-26,EEP23236,Electrical Engineering,Ph.D. in Electrical Engineering,16:49,22:49
2026-01-18,SOM24060,Sociology,M.A. in Sociology,17:38,19:26
2025-03-14,DEM22034,Design,Master of Design,20:27,23:59
2026-03-11,BAM21273,Business Administration,Master of Business Administration,13:36,19:17
2024-07-06,EEP23188,Electrical Engineering,Ph.D. in Electrical Engineering,20:54,03:00
2024-07-04,MSI20156,Mathematical Sciences,Integrated M. Sc. in Mathematics,14:01,19:34
2025-09-12,EGE22235,English,M. A. in English,12:22,20:13
2025-11-20,WSM23031,Women Study,M. A. in Women Studies,18:52,21:36
2025-05-14,APP21184,Applied Sciences,Ph.D. in Applied Sciences,13:06,13:39
2026-04-06,MCP21098,Mass Communication & Journalism,Ph.D. in Mass Communication & Journalism,00:04,03:00
2026-02-24,MBM25014,Molecular Biology & Biotechnology,M. Sc. in Molecular Biology and Biotechnology,22:56,03:00
2024-12-02,LLP23023,Linguistics and Language Technology,Ph.D. in Linguistics and Language Technology,09:20,16:49
2025-11-27,EGL24013,Linguistics and Language Technology,M. A. in Linguistics & Languages Technology,22:05,01:53
2024-11-05,CTP21207,Cultural Studies,Ph.D. in Cultural Studies,23:00,03:00
2025-01-20,EEP20135,Electrical Engineering,Ph.D. in Electrical Engineering,09:51,15:09
2025-07-09,LLP24248,Linguistics and Language Technology,Ph.D. in Linguistics and Language Technology,12:53,18:11
2026-01-12,WSP25220,Women Study,Ph.D. in Women Study,11:54,19:06
2025-10-07,APP21028,Applied Sciences,Ph.D. in Applied Sciences,00:12,03:00
2025-10-29,EGE25271,English,M. A. in English,17:31,23:37
2024-12-09,ESE23157,Environmental Sciences,M. Sc. in Environmental Science,10:36,13:01
2025-08-09,FLB21260,Linguistics and Language Technology,BA in Chinese,13:07,14:01
2024-06-13,DEP20046,Design,Ph.D. in Design,14:38,17:49
2026-02-22,MSB25063,Mathematical Sciences,Integrated B.Sc.B.Ed. (Mathematics Major),14:41,19:10
2024-07-14,DEM21195,Design,Master of Design,21:11,01:58
2025-08-23,CSE25114,Computer Science & Engineering,M. Tech. in Data Science,10:37,17:06
2026-03-17,PHI21018,Physics,Integrated M. Sc. in Physics,11:13,19:03
2024-11-02,MCP24253,Mass Communication & Journalism,Ph.D. in Mass Communication & Journalism,19:57,23:46
2025-05-18,ECD20191,Electronics & Communication Engineering,M. Tech in Bioelectronics,21:31,03:00
2026-03-22,MBI25058,Molecular Biology & Biotechnology,Integrated M.Sc. Life Science,20:40,21:52
2025-08-03,FLB21260,Linguistics and Language Technology,BA in Chinese,18:12,18:46
2025-08-25,EDE23249,Education,M. Ed.,15:11,17:40
2025-11-18,MEB25072,Mechanical Engineering,B. Tech. in Mechanical Engineering,13:31,17:49
2025-09-05,EDB20226,Education,B. Ed.,16:25,16:57
2025-09-28,CSE25092,Computer Science & Engineering,M. Tech. in Data Science,23:08,03:00
2024-10-12,EEP20274,Electrical Engineering,Ph.D. in Electrical Engineering,11:39,12:29
2026-02-05,EEP22035,Electrical Engineering,Ph.D. in Electrical Engineering,21:44,23:42
2026-04-10,ECP23238,Electronics & Communication Engineering,Ph.D. in Electronics & Communication Engineering,19:29,21:04
2025-02-26,COI23128,Commerce,Integrated M. Com.,13:35,17:48
2026-03-15,BAP20241,Business Administration,Ph.D. in Business Administration,11:17,16:53
2025-02-03,PHI20154,Physics,Integrated M. Sc. in Physics,18:09,01:13
2024-11-23,ENP23158,Energy,Ph.D. in Energy,14:21,19:25
2024-08-11,EDP22251,Education,Ph.D. in Education,19:57,03:00
2024-06-17,MSB22162,Mathematical Sciences,Integrated B.Sc.B.Ed. (Mathematics Major),01:08,03:00
2025-11-02,MBP25192,Molecular Biology & Biotechnology,Ph.D. in Molecular Biology & Biotechnology,17:25,23:29
2025-08-07,HIM20177,Hindi,M. A. in Hindi,09:04,15:19
2025-03-13,BAP21032,Business Administration,Ph.D. in Business Administration,21:22,22:05
2025-03-26,MEM22252,Mechanical Engineering,M. Tech in Mechanical Engineering,20:56,03:00
2025-03-14,HIM21244,Hindi,M. A. in Hindi,09:40,10:26
2026-02-21,ECS20126,Electronics & Communication Engineering,M. Tech. in Semiconductor Technology,01:45,03:00
2024-05-26,EGI22108,English,Integrated M.A. in English,22:24,02:21
2026-02-12,DEM22034,Design,Master of Design,14:15,16:33
2025-03-16,EEP20274,Electrical Engineering,Ph.D. in Electrical Engineering,16:47,19:27
2025-10-31,CST25279,Computer Science & Engineering,M. Tech. in Computer Science and Engineering,23:50,00:58
2025-06-20,CTP24102,Cultural Studies,Ph.D. in Cultural Studies,12:59,20:29
2024-05-09,DEM21195,Design,Master of Design,23:46,03:00
2026-02-15,ESE21051,Environmental Sciences,M. Sc. in Environmental Science,14:43,17:13
2025-06-04,BAP21032,Business Administration,Ph.D. in Business Administration,18:00,00:57
2026-02-16,CHI20141,Chemical Sciences,Integrated M.Sc. in Chemistry,15:28,17:28
2025-06-06,EDE23249,Education,M. Ed.,19:54,23:35
2025-10-20,EEB24224,Electrical Engineering,B. Tech. in Electrical Engineering,17:15,21:03
2025-09-02,EGE23009,English,M. A. in English,12:47,17:06
2026-03-24,MRP24117,Multidisciplinary Research,Ph.D. in Multidisciplinary Research,21:13,23:38
2025-05-09,ECP23238,Electronics & Communication Engineering,Ph.D. in Electronics & Communication Engineering,22:25,00:25
2025-01-16,PHM21075,Physics,M. Sc. in Physics,02:08,03:00
2024-07-03,MSP20073,Mathematical Sciences,Ph.D. in Mathematical Sciences,10:33,15:43
2025-10-10,BAM20070,Business Administration,MBA (Executive) – Online/Part -time,09:44,12:50
2025-07-03,ENE24069,Energy,M. Tech in Energy Technology,13:15,17:53
2025-12-17,CHM20010,Chemical Sciences,M. Sc. in Chemistry,17:54,23:13
2026-04-09,PHI25043,Physics,Integrated M. Sc. in Physics,13:59,17:44
2025-11-27,CTM22153,Cultural Studies,M.A. in Cultural Studies,15:46,16:46
2026-03-19,ENP20037,Energy,Ph.D. in Energy,12:45,14:30
