Student ID,Department,Programme,Book ID,Book Category,Issue Date,Return Date,Entry Time,Exit Time,Not Returned,Borrow_Days,Month,Year,Day_Name
WSM24107,Women Study,M. A. in Women Studies,B00011,Humanities,2026-01-01,2026-01-12,12:27,17:18,False,11.0,1,2026,Thursday
PHM23048,Physics,M. Sc. in Physics,B00329,Chemistry,2024-08-18,2024-09-03,14:10,17:00,False,16.0,8,2024,Sunday
FLB24087,Linguistics and Language Technology,BA in Chinese,B00319,Fiction,2025-09-10,2025-10-01,15:02,19:30,False,21.0,9,2025,Wednesday
EGE21016,English,M. A. in English,B00035,Chemistry,2026-01-17,2026-02-15,14:57,17:00,False,29.0,1,2026,Saturday
EEP23219,Electrical Engineering,Ph.D. in Electrical Engineering,B00202,Electronics,2025-08-20,2025-08-23,10:42,15:22,False,3.0,8,2025,Wednesday
HIM25231,Hindi,M. A. in Hindi,B00190,Humanities,2025-08-14,,09:49,13:04,True,,8,2025,Thursday
EEP20163,Electrical Engineering,Ph.D. in Electrical Engineering,B00313,Physics,2025-04-05,2025-04-09,13:21,17:00,False,4.0,4,2025,Saturday
EEB24046,Electrical Engineering,B. Tech. in Electrical Engineering,B00302,Mathematics,2025-09-30,2025-10-04,11:31,14:25,False,4.0,9,2025,Tuesday
COM21199,Commerce,M.Com,B00078,Mechanical,2025-07-26,2025-08-10,14:25,17:00,False,15.0,7,2025,Saturday
CSE21155,Computer Science & Engineering,M. Tech. in Data Science,B00222,Physics,2026-01-01,,09:42,14:14,True,,1,2026,Thursday
HIM21140,Hindi,M. A. in Hindi,B00148,Chemistry,2026-03-24,2026-03-30,14:20,18:22,False,6.0,3,2026,Tuesday
HIP24037,Hindi,Ph.D. in Hindi,B00093,Computer Science,2024-12-27,2024-12-29,18:53,19:30,False,2.0,12,2024,Friday
DEP25068,Design,Ph.D. in Design,B00166,Physics,2026-01-18,,15:09,17:00,True,,1,2026,Sunday
MSI23124,Mathematical Sciences,Integrated M. Sc. in Mathematics,B00137,Management,2024-05-05,2024-05-15,14:45,15:43,False,10.0,5,2024,Sunday
EDM23228,Education,M. A. in Education,B00129,Physics,2024-12-04,2024-12-12,09:17,11:40,False,8.0,12,2024,Wednesday
EGP22209,English,Ph.D. in English,B00065,Fiction,2025-06-02,2025-07-02,10:03,13:51,False,30.0,6,2025,Monday
CHM21297,Chemical Sciences,M. Sc. in Chemistry,B00332,Mathematics,2024-09-17,2024-10-10,18:16,19:22,False,23.0,9,2024,Tuesday
CHP20059,Chemical Sciences,Ph.D. in Chemical Sciences,B00414,Chemistry,2026-02-16,2026-03-14,10:10,15:52,False,26.0,2,2026,Monday
BAM21104,Business Administration,Master of Business Administration,B00003,Electronics,2025-12-24,2026-01-16,16:19,16:58,False,23.0,12,2025,Wednesday
DEM20237,Design,Master of Design,B00378,Physics,2025-08-26,2025-09-17,12:50,13:43,False,22.0,8,2025,Tuesday
EGI21128,English,Integrated M.A. in English,B00422,Humanities,2025-06-30,2025-07-21,13:15,18:38,False,21.0,6,2025,Monday
ECP21194,Electronics & Communication Engineering,Ph.D. in Electronics & Communication Engineering,B00281,Mechanical,2024-12-14,2025-01-05,11:37,17:00,False,22.0,12,2024,Saturday
EEM22114,Electrical Engineering,M. Tech in Electrical Engineering,B00414,Chemistry,2025-05-26,2025-06-16,17:46,18:50,False,21.0,5,2025,Monday
ECB21148,Electronics & Communication Engineering,B. Tech. in Electronics and Comm. Engineering,B00105,Fiction,2024-08-24,2024-09-03,10:10,14:49,False,10.0,8,2024,Saturday
EEP24275,Electrical Engineering,Ph.D. in Electrical Engineering,B00001,Computer Science,2025-04-25,,13:55,19:23,True,,4,2025,Friday
EDE22079,Education,M. Ed.,B00264,Computer Science,2024-09-19,2024-09-20,17:57,19:30,False,1.0,9,2024,Thursday
ENE20158,Energy,M. Tech in Energy Technology,B00238,Physics,2024-11-01,2024-11-13,13:39,14:34,False,12.0,11,2024,Friday
BAM24111,Business Administration,MBA (Executive) – Online/Part -time,B00260,Humanities,2026-01-15,2026-01-25,12:40,13:16,False,10.0,1,2026,Thursday
APP22223,Applied Sciences,Ph.D. in Applied Sciences,B00273,Mathematics,2025-07-25,2025-08-09,17:09,19:30,False,15.0,7,2025,Friday
SWP25039,Social Work,Ph.D. in Social Work,B00328,Humanities,2025-09-07,2025-09-16,12:01,16:06,False,9.0,9,2025,Sunday
MCM20024,Mass Communication & Journalism,M. A. in Mass Communication & Journalism,B00116,Chemistry,2025-03-15,2025-03-20,14:29,17:00,False,5.0,3,2025,Saturday
MCP24197,Mass Communication & Journalism,Ph.D. in Mass Communication & Journalism,B00354,Chemistry,2025-03-20,2025-04-11,14:20,17:34,False,22.0,3,2025,Thursday
BAT23130,Business Administration,Master of Tourism & Travel Management,B00498,Computer Science,2025-10-31,,10:37,13:11,True,,10,2025,Friday
ECD20027,Electronics & Communication Engineering,M. Tech in Bioelectronics,B00252,Physics,2025-01-15,2025-02-14,13:35,19:20,False,30.0,1,2025,Wednesday
MSM24200,Mathematical Sciences,M. Sc. in Mathematics,B00189,Mechanical,2025-06-28,2025-07-08,14:56,17:00,False,10.0,6,2025,Saturday
CSB24220,Computer Science & Engineering,B. Tech. in Computer Science and Engineering,B00353,Management,2025-05-21,2025-06-19,11:21,14:28,False,29.0,5,2025,Wednesday
MSM25132,Mathematical Sciences,M. Sc. in Mathematics,B00415,Mathematics,2026-01-25,2026-02-09,12:09,14:32,False,15.0,1,2026,Sunday
DEB24073,Design,B. Des.,B00119,Management,2024-12-09,2024-12-22,17:20,19:30,False,13.0,12,2024,Monday
ECB21078,Electronics & Communication Engineering,B. Tech. in Electronics and Comm. Engineering,B00357,Fiction,2025-01-29,2025-02-22,10:30,14:57,False,24.0,1,2025,Wednesday
EDT21171,Electronics & Communication Engineering,M. Tech. in Electronics Design & Technology,B00438,Management,2025-09-24,2025-10-12,11:25,15:07,False,18.0,9,2025,Wednesday
ECD21286,Electronics & Communication Engineering,M. Tech in Bioelectronics,B00313,Physics,2025-07-19,2025-08-11,13:13,16:05,False,23.0,7,2025,Saturday
MSM24200,Mathematical Sciences,M. Sc. in Mathematics,B00129,Physics,2025-11-28,2025-12-09,17:40,19:30,False,11.0,11,2025,Friday
ASM20147,Assamese,M.A. in Assamese,B00446,Humanities,2024-11-23,2024-11-27,11:24,15:45,False,4.0,11,2024,Saturday
MSM25174,Mathematical Sciences,M. Sc. in Mathematics,B00202,Electronics,2025-10-20,2025-10-25,09:10,12:31,False,5.0,10,2025,Monday
COP24288,Commerce,Ph.D. in Commerce,B00259,Physics,2025-03-25,2025-04-03,11:23,16:37,False,9.0,3,2025,Tuesday
FLB25040,Linguistics and Language Technology,BA in Chinese,B00289,Humanities,2025-09-07,2025-09-13,14:11,16:52,False,6.0,9,2025,Sunday
COM21010,Commerce,M.Com,B00113,Computer Science,2025-06-11,2025-06-27,16:52,19:30,False,16.0,6,2025,Wednesday
BAM23137,Business Administration,Certificate in NSE Academy Certified Capital Market,B00413,Humanities,2025-06-02,2025-06-12,11:35,16:08,False,10.0,6,2025,Monday
SWM23057,Social Work,M. A. in Social Work,B00194,Fiction,2024-05-20,,15:03,16:10,True,,5,2024,Monday
LAM21134,Law,LLM,B00336,Humanities,2024-05-03,2024-05-22,14:47,17:46,False,19.0,5,2024,Friday
BAP21036,Business Administration,Ph.D. in Business Administration,B00281,Mechanical,2024-05-25,2024-06-02,10:51,13:06,False,8.0,5,2024,Saturday
EEB20185,Electrical Engineering,B. Tech. in Electrical Engineering,B00363,Fiction,2025-11-02,2025-11-23,13:09,14:41,False,21.0,11,2025,Sunday
SWM24041,Social Work,M. A. in Social Work,B00165,Mechanical,2026-03-26,2026-04-13,15:57,18:21,False,18.0,3,2026,Thursday
EGE25208,English,M. A. in English,B00382,Chemistry,2026-04-29,,09:41,11:23,True,,4,2026,Wednesday
PHP21098,Physics,Ph.D. in Physics,B00040,Mechanical,2025-02-23,2025-03-12,10:17,13:53,False,17.0,2,2025,Sunday
COI20075,Commerce,Integrated M. Com.,B00055,Mechanical,2026-03-01,2026-03-13,14:08,17:00,False,12.0,3,2026,Sunday
ECP24205,Electronics & Communication Engineering,Ph.D. in Electronics & Communication Engineering,B00074,Computer Science,2025-08-28,2025-09-08,14:54,17:38,False,11.0,8,2025,Thursday
EGI25291,English,Integrated M.A. in English,B00382,Chemistry,2025-08-07,,14:22,15:55,True,,8,2025,Thursday
ECP21194,Electronics & Communication Engineering,Ph.D. in Electronics & Communication Engineering,B00443,Physics,2025-01-04,2025-01-15,12:18,17:00,False,11.0,1,2025,Saturday
DEM21047,Design,Master of Design,B00079,Mechanical,2024-12-15,2024-12-16,16:18,17:00,False,1.0,12,2024,Sunday
EEP24275,Electrical Engineering,Ph.D. in Electrical Engineering,B00392,Management,2025-05-17,2025-06-13,14:48,15:42,False,27.0,5,2025,Saturday
COM23273,Commerce,M.Com,B00197,Humanities,2024-12-21,2025-01-16,15:17,17:00,False,26.0,12,2024,Saturday
CHI23129,Chemical Sciences,Integrated M.Sc. in Chemistry,B00127,Mechanical,2026-01-10,2026-01-17,15:19,17:00,False,7.0,1,2026,Saturday
SWM25258,Social Work,M. A. in Social Work,B00377,Management,2025-11-13,,09:01,09:47,True,,11,2025,Thursday
CSB20120,Computer Science & Engineering,B. Tech. in Computer Science and Engineering,B00052,Humanities,2025-07-06,2025-07-26,11:19,12:17,False,20.0,7,2025,Sunday
HIM23284,Hindi,M. A. in Hindi,B00191,Physics,2024-11-25,,10:13,14:15,True,,11,2024,Monday
EGL23259,Linguistics and Language Technology,M. A. in Linguistics & Languages Technology,B00107,Fiction,2024-11-09,2024-12-05,14:49,17:00,False,26.0,11,2024,Saturday
EGP21092,English,Ph.D. in English,B00313,Physics,2024-09-12,2024-10-07,14:58,16:13,False,25.0,9,2024,Thursday
BAT23130,Business Administration,Master of Tourism & Travel Management,B00187,Chemistry,2024-08-28,2024-09-10,09:14,12:45,False,13.0,8,2024,Wednesday
HIM21140,Hindi,M. A. in Hindi,B00308,Chemistry,2026-01-05,2026-01-06,13:27,18:59,False,1.0,1,2026,Monday
EGI20227,English,Integrated M.A. in English,B00447,Mathematics,2025-03-08,2025-03-19,14:01,17:00,False,11.0,3,2025,Saturday
EDM22035,Education,M. A. in Education,B00492,Physics,2025-12-23,2025-12-29,18:38,19:30,False,6.0,12,2025,Tuesday
ECB24212,Electronics & Communication Engineering,B. Tech. in Electronics and Comm. Engineering,B00432,Chemistry,2025-02-03,2025-02-23,16:17,19:30,False,20.0,2,2025,Monday
SWM25108,Social Work,M. A. in Social Work,B00400,Electronics,2026-04-28,,16:15,19:30,True,,4,2026,Tuesday
EGP22209,English,Ph.D. in English,B00325,Physics,2024-10-01,2024-10-09,17:16,18:55,False,8.0,10,2024,Tuesday
BAM24019,Business Administration,Certificate in NSE Academy Certified Capital Market,B00026,Chemistry,2025-12-16,2025-12-18,14:49,15:37,False,2.0,12,2025,Tuesday
MRP22026,Multidisciplinary Research,Ph.D. in Multidisciplinary Research,B00279,Electronics,2025-10-01,,14:53,15:47,True,,10,2025,Wednesday
MCM25179,Mass Communication & Journalism,M. A. in Mass Communication & Journalism,B00131,Management,2026-02-24,2026-03-20,09:12,11:36,False,24.0,2,2026,Tuesday
COP24288,Commerce,Ph.D. in Commerce,B00488,Mathematics,2024-09-02,2024-09-27,14:03,18:19,False,25.0,9,2024,Monday
DEM20292,Design,Master of Design,B00365,Physics,2025-10-31,2025-11-22,13:25,14:19,False,22.0,10,2025,Friday
EDP22088,Education,Ph.D. in Education,B00464,Chemistry,2024-06-13,2024-07-13,13:38,15:36,False,30.0,6,2024,Thursday
CST23233,Computer Science & Engineering,M. Tech. in Computer Science and Engineering,B00258,Humanities,2025-01-28,2025-02-09,10:19,15:56,False,12.0,1,2025,Tuesday
EEB24222,Electrical Engineering,B. Tech. in Electrical Engineering,B00176,Mechanical,2026-03-09,,12:01,15:30,True,,3,2026,Monday
BAM23137,Business Administration,Certificate in NSE Academy Certified Capital Market,B00312,Fiction,2026-01-08,2026-01-11,14:02,16:03,False,3.0,1,2026,Thursday
EGI21128,English,Integrated M.A. in English,B00268,Management,2024-11-18,2024-12-15,13:26,15:29,False,27.0,11,2024,Monday
ESE20145,Environmental Sciences,M. Sc. in Environmental Science,B00063,Humanities,2025-06-03,2025-06-29,15:02,17:24,False,26.0,6,2025,Tuesday
COI20075,Commerce,Integrated M. Com.,B00156,Chemistry,2024-07-08,2024-07-12,09:40,11:32,False,4.0,7,2024,Monday
LAP23202,Law,Ph.D. in Law,B00310,Electronics,2026-04-11,2026-04-25,12:55,17:00,False,14.0,4,2026,Saturday
MSM24200,Mathematical Sciences,M. Sc. in Mathematics,B00453,Electronics,2025-12-13,2025-12-14,12:52,15:57,False,1.0,12,2025,Saturday
CHP20204,Chemical Sciences,Ph.D. in Chemical Sciences,B00351,Fiction,2025-09-10,2025-10-02,09:17,14:46,False,22.0,9,2025,Wednesday
EGP20173,English,Ph.D. in English,B00120,Chemistry,2026-03-25,2026-04-13,15:56,19:30,False,19.0,3,2026,Wednesday
DEM21047,Design,Master of Design,B00296,Mathematics,2025-07-08,2025-07-09,09:35,14:58,False,1.0,7,2025,Tuesday
MRP23282,Multidisciplinary Research,Ph.D. in Multidisciplinary Research,B00419,Mathematics,2024-08-29,2024-09-09,18:34,19:30,False,11.0,8,2024,Thursday
SWM22165,Social Work,M. A. in Social Work,B00385,Management,2024-05-19,2024-06-17,12:22,17:00,False,29.0,5,2024,Sunday
EGI25291,English,Integrated M.A. in English,B00470,Computer Science,2026-02-12,2026-03-09,18:20,19:30,False,25.0,2,2026,Thursday
CEB23071,Civil Engineering,B. Tech. in Civil Engineering,B00406,Humanities,2025-02-01,,13:28,13:59,True,,2,2025,Saturday
BAM23203,Business Administration,Certificate in NSE Academy Certified Capital Market,B00429,Electronics,2024-05-04,2024-06-02,13:52,17:00,False,29.0,5,2024,Saturday
PHM24028,Physics,M. Sc. in Physics,B00079,Mechanical,2025-01-11,,13:46,15:11,True,,1,2025,Saturday
