Date,Roll No,Department,Programme,Entry Time,Exit Time,Study_Duration_Hours,Entry_Hour
2024-12-24,ECS20085,Electronics & Communication Engineering,M. Tech. in Semiconductor Technology,2026-05-06 12:17:00,2026-05-06 14:21:00,2.066666666666667,12
2026-04-12,MCP20107,Mass Communication & Journalism,Ph.D. in Mass Communication & Journalism,2026-05-06 10:10:00,2026-05-06 14:37:00,4.45,10
2026-01-01,PHP21201,Physics,Ph.D. in Physics,2026-05-06 00:30:00,2026-05-06 03:00:00,2.5,0
2024-09-21,MCP21275,Mass Communication & Journalism,Ph.D. in Mass Communication & Journalism,2026-05-06 15:27:00,2026-05-06 20:05:00,4.633333333333334,15
2024-12-08,WSP21105,Women Study,Ph.D. in Women Study,2026-05-06 10:34:00,2026-05-06 15:53:00,5.316666666666666,10
2025-09-22,CHM23087,Chemical Sciences,M. Sc. in Chemistry,2026-05-06 01:52:00,2026-05-06 03:00:00,1.1333333333333333,1
2025-09-01,ECB25296,Electronics & Communication Engineering,B. Tech. in Electronics and Comm. Engineering,2026-05-06 16:14:00,2026-05-06 22:13:00,5.983333333333333,16
2024-12-27,SOM21094,Sociology,M.A. in Sociology,2026-05-06 15:37:00,2026-05-06 22:48:00,7.183333333333334,15
2025-10-21,ASP22299,Assamese,Ph.D. in Assamese,2026-05-06 01:31:00,2026-05-06 03:00:00,1.4833333333333334,1
2024-05-04,EEB20265,Electrical Engineering,B. Tech. in Electrical Engineering,2026-05-06 22:16:00,2026-05-06 01:16:00,-21.0,22
2026-01-14,EEP20274,Electrical Engineering,Ph.D. in Electrical Engineering,2026-05-06 11:27:00,2026-05-06 14:08:00,2.683333333333333,11
2024-05-30,EDM22210,Education,M. A. in Education,2026-05-06 22:42:00,2026-05-06 02:52:00,-19.833333333333332,22
2024-11-10,EEP22035,Electrical Engineering,Ph.D. in Electrical Engineering,2026-05-06 21:15:00,2026-05-06 22:26:00,1.1833333333333333,21
2026-01-28,FET22096,Food Engineering & Technology,M. Tech. in Food Engineering & Technology,2026-05-06 23:23:00,2026-05-06 03:00:00,-20.383333333333333,23
2025-10-11,MSP25004,Mathematical Sciences,Ph.D. in Mathematical Sciences,2026-05-06 11:56:00,2026-05-06 18:43:00,6.783333333333333,11
2025-01-04,MSM23218,Mathematical Sciences,M. Sc. in Mathematics,2026-05-06 22:43:00,2026-05-06 03:00:00,-19.716666666666665,22
2025-06-22,BAP21032,Business Administration,Ph.D. in Business Administration,2026-05-06 13:23:00,2026-05-06 14:02:00,0.65,13
2024-12-30,EDP22251,Education,Ph.D. in Education,2026-05-06 10:27:00,2026-05-06 16:07:00,5.666666666666667,10
2024-05-04,BAM21258,Business Administration,Master of Business Administration,2026-05-06 21:54:00,2026-05-06 01:54:00,-20.0,21
2026-02-09,MEP23212,Mechanical Engineering,Ph.D. in Mechanical Engineering,2026-05-06 21:48:00,2026-05-06 03:00:00,-18.8,21
2025-01-14,ECP21111,Electronics & Communication Engineering,Ph.D. in Electronics & Communication Engineering,2026-05-06 22:21:00,2026-05-06 03:00:00,-19.35,22
2026-04-22,MRP24117,Multidisciplinary Research,Ph.D. in Multidisciplinary Research,2026-05-06 16:49:00,2026-05-06 20:25:00,3.6,16
2024-12-14,COP24206,Commerce,Ph.D. in Commerce,2026-05-06 18:37:00,2026-05-06 19:53:00,1.2666666666666666,18
2026-03-19,EGL24013,Linguistics and Language Technology,M. A. in Linguistics & Languages Technology,2026-05-06 12:58:00,2026-05-06 15:31:00,2.55,12
2025-08-04,CHM24270,Chemical Sciences,M. Sc. in Chemistry,2026-05-06 18:28:00,2026-05-06 19:46:00,1.3,18
2024-06-21,EDP20006,Education,Ph.D. in Education,2026-05-06 13:32:00,2026-05-06 14:58:00,1.4333333333333333,13
2025-10-06,MEB25036,Mechanical Engineering,B. Tech. in Mechanical Engineering,2026-05-06 23:04:00,2026-05-06 01:33:00,-21.516666666666666,23
2025-10-22,BAT24103,Business Administration,Master of Tourism & Travel Management,2026-05-06 12:09:00,2026-05-06 16:14:00,4.083333333333333,12
2025-11-25,MCP22112,Mass Communication & Journalism,Ph.D. in Mass Communication & Journalism,2026-05-06 20:42:00,2026-05-06 03:00:00,-17.7,20
2025-12-15,LAP25185,Law,Ph.D. in Law,2026-05-06 21:18:00,2026-05-06 00:26:00,-20.866666666666667,21
2025-08-18,ECB25296,Electronics & Communication Engineering,B. Tech. in Electronics and Comm. Engineering,2026-05-06 14:28:00,2026-05-06 18:49:00,4.35,14
2025-08-23,MEP24125,Mechanical Engineering,Ph.D. in Mechanical Engineering,2026-05-06 19:29:00,2026-05-06 20:04:00,0.5833333333333334,19
2024-11-13,ESE20233,Environmental Sciences,M. Sc. in Environmental Science,2026-05-06 11:25:00,2026-05-06 14:17:00,2.8666666666666667,11
2024-10-30,SOP21090,Sociology,Ph.D. in Sociology,2026-05-06 13:34:00,2026-05-06 17:17:00,3.716666666666667,13
2025-09-16,CSE25092,Computer Science & Engineering,M. Tech. in Data Science,2026-05-06 11:16:00,2026-05-06 13:20:00,2.066666666666667,11
2025-07-18,HIM23113,Hindi,M. A. in Hindi,2026-05-06 00:38:00,2026-05-06 03:00:00,2.3666666666666667,0
2024-08-31,MBM24277,Molecular Biology & Biotechnology,M. Sc. in Molecular Biology and Biotechnology,2026-05-06 09:03:00,2026-05-06 12:31:00,3.466666666666667,9
2025-11-28,CSB21015,Computer Science & Engineering,B. Tech. in Computer Science and Engineering,2026-05-06 13:56:00,2026-05-06 20:56:00,7.0,13
2025-04-14,BAM23180,Business Administration,Master of Business Administration,2026-05-06 15:56:00,2026-05-06 22:39:00,6.716666666666667,15
2025-10-28,BAM23180,Business Administration,Master of Business Administration,2026-05-06 15:52:00,2026-05-06 21:44:00,5.866666666666666,15
2025-07-28,LAP20040,Law,Ph.D. in Law,2026-05-06 15:07:00,2026-05-06 17:32:00,2.4166666666666665,15
2025-11-25,EEP22071,Electrical Engineering,Ph.D. in Electrical Engineering,2026-05-06 10:38:00,2026-05-06 13:52:00,3.2333333333333334,10
2024-12-13,ESE21051,Environmental Sciences,M. Sc. in Environmental Science,2026-05-06 11:22:00,2026-05-06 13:59:00,2.6166666666666667,11
2024-10-12,ECD20189,Electronics & Communication Engineering,M. Tech in Bioelectronics,2026-05-06 15:38:00,2026-05-06 21:54:00,6.266666666666667,15
2025-02-09,SOM24143,Sociology,M.A. in Sociology,2026-05-06 14:22:00,2026-05-06 17:21:00,2.9833333333333334,14
2025-12-11,ECP21111,Electronics & Communication Engineering,Ph.D. in Electronics & Communication Engineering,2026-05-06 16:29:00,2026-05-06 23:25:00,6.933333333333334,16
2025-04-04,LLP20138,Linguistics and Language Technology,Ph.D. in Linguistics and Language Technology,2026-05-06 15:49:00,2026-05-06 18:44:00,2.9166666666666665,15
2025-05-09,CTP23171,Cultural Studies,Ph.D. in Cultural Studies,2026-05-06 16:31:00,2026-05-06 22:41:00,6.166666666666667,16
2024-11-16,MSI20156,Mathematical Sciences,Integrated M. Sc. in Mathematics,2026-05-06 16:48:00,2026-05-06 19:26:00,2.6333333333333333,16
2026-03-12,FEP25127,Food Engineering & Technology,Ph.D. in Food Engineering & Technology,2026-05-06 01:18:00,2026-05-06 03:00:00,1.7,1
2025-12-01,BAM21273,Business Administration,Master of Business Administration,2026-05-06 14:04:00,2026-05-06 16:49:00,2.75,14
2026-01-07,LAP22204,Law,Ph.D. in Law,2026-05-06 19:55:00,2026-05-06 02:13:00,-17.7,19
2024-05-14,BAM20295,Business Administration,MBA (Executive) – Online/Part -time,2026-05-06 23:41:00,2026-05-06 03:00:00,-20.683333333333334,23
2025-08-09,PHP23245,Physics,Ph.D. in Physics,2026-05-06 12:38:00,2026-05-06 17:46:00,5.133333333333334,12
2024-06-18,MEM20045,Mechanical Engineering,M. Tech in Mechanical Engineering,2026-05-06 09:01:00,2026-05-06 16:19:00,7.3,9
2025-03-06,EDM23216,Education,M. A. in Education,2026-05-06 02:18:00,2026-05-06 03:00:00,0.7,2
2025-03-09,MSM20132,Mathematical Sciences,M. Sc. in Mathematics,2026-05-06 12:43:00,2026-05-06 17:13:00,4.5,12
2026-03-05,CTP24263,Cultural Studies,Ph.D. in Cultural Studies,2026-05-06 18:38:00,2026-05-06 00:10:00,-18.466666666666665,18
2025-01-15,EGP20243,English,Ph.D. in English,2026-05-06 18:28:00,2026-05-06 00:30:00,-17.966666666666665,18
2025-03-27,MSP22179,Mathematical Sciences,Ph.D. in Mathematical Sciences,2026-05-06 01:13:00,2026-05-06 03:00:00,1.7833333333333334,1
2025-05-30,EGP20243,English,Ph.D. in English,2026-05-06 12:32:00,2026-05-06 19:43:00,7.183333333333334,12
2025-06-29,CHB20055,Chemical Sciences,Integrated B.Sc.B.Ed. (Chemistry Major),2026-05-06 17:08:00,2026-05-06 23:45:00,6.616666666666666,17
2026-04-19,EDE25291,Education,M. Ed.,2026-05-06 00:54:00,2026-05-06 03:00:00,2.1,0
2025-08-02,DEM22034,Design,Master of Design,2026-05-06 00:03:00,2026-05-06 03:00:00,2.95,0
2025-11-13,MCM23048,Mass Communication & Journalism,M. A. in Mass Communication & Journalism,2026-05-06 15:10:00,2026-05-06 15:54:00,0.7333333333333333,15
2024-08-09,CHB20055,Chemical Sciences,Integrated B.Sc.B.Ed. (Chemistry Major),2026-05-06 00:50:00,2026-05-06 03:00:00,2.1666666666666665,0
2025-05-22,CHM21095,Chemical Sciences,M. Sc. in Chemistry,2026-05-06 15:51:00,2026-05-06 22:15:00,6.4,15
2025-12-21,MSI20156,Mathematical Sciences,Integrated M. Sc. in Mathematics,2026-05-06 21:02:00,2026-05-06 01:50:00,-19.2,21
2025-12-17,MCP21275,Mass Communication & Journalism,Ph.D. in Mass Communication & Journalism,2026-05-06 15:14:00,2026-05-06 16:51:00,1.6166666666666667,15
2026-03-20,MSI25234,Mathematical Sciences,Integrated M. Sc. in Mathematics,2026-05-06 12:25:00,2026-05-06 13:18:00,0.8833333333333333,12
2024-10-16,BAP20241,Business Administration,Ph.D. in Business Administration,2026-05-06 09:48:00,2026-05-06 17:10:00,7.366666666666666,9
2025-01-11,EDB20226,Education,B. Ed.,2026-05-06 23:48:00,2026-05-06 03:00:00,-20.8,23
2025-08-03,CEM25182,Civil Engineering,M. Tech. in Civil Engineering,2026-05-06 10:45:00,2026-05-06 12:28:00,1.7166666666666666,10
2025-05-12,CSB21015,Computer Science & Engineering,B. Tech. in Computer Science and Engineering,2026-05-06 20:45:00,2026-05-06 03:00:00,-17.75,20
2025-10-28,CHB20055,Chemical Sciences,Integrated B.Sc.B.Ed. (Chemistry Major),2026-05-06 22:04:00,2026-05-06 03:00:00,-19.066666666666666,22
2024-09-03,CHM23229,Chemical Sciences,M. Sc. in Chemistry,2026-05-06 09:53:00,2026-05-06 16:47:00,6.9,9
2024-12-16,PHM21196,Physics,M. Sc. in Physics,2026-05-06 00:39:00,2026-05-06 03:00:00,2.35,0
2025-05-14,MSM24200,Mathematical Sciences,M. Sc. in Mathematics,2026-05-06 21:00:00,2026-05-06 00:26:00,-20.566666666666666,21
2026-04-01,PHP21201,Physics,Ph.D. in Physics,2026-05-06 17:21:00,2026-05-06 22:47:00,5.433333333333334,17
2025-06-19,EGI22108,English,Integrated M.A. in English,2026-05-06 02:13:00,2026-05-06 03:00:00,0.7833333333333333,2
2025-09-10,FEP25127,Food Engineering & Technology,Ph.D. in Food Engineering & Technology,2026-05-06 01:33:00,2026-05-06 03:00:00,1.45,1
2025-01-29,SOM24293,Sociology,M.A. in Sociology,2026-05-06 15:53:00,2026-05-06 22:33:00,6.666666666666667,15
2024-06-04,MSP22179,Mathematical Sciences,Ph.D. in Mathematical Sciences,2026-05-06 19:35:00,2026-05-06 23:56:00,4.35,19
2024-12-27,EGI21283,English,Integrated M.A. in English,2026-05-06 13:32:00,2026-05-06 16:29:00,2.95,13
2025-12-26,ECB25296,Electronics & Communication Engineering,B. Tech. in Electronics and Comm. Engineering,2026-05-06 15:15:00,2026-05-06 16:19:00,1.0666666666666667,15
2026-02-10,EGI21283,English,Integrated M.A. in English,2026-05-06 09:20:00,2026-05-06 13:49:00,4.483333333333333,9
2026-04-23,ENE24194,Energy,M. Tech in Energy Technology,2026-05-06 10:01:00,2026-05-06 13:13:00,3.2,10
2025-12-09,CHP24193,Chemical Sciences,Ph.D. in Chemical Sciences,2026-05-06 16:55:00,2026-05-06 22:01:00,5.1,16
2025-04-25,EEP23236,Electrical Engineering,Ph.D. in Electrical Engineering,2026-05-06 19:43:00,2026-05-06 02:33:00,-17.166666666666668,19
2025-06-29,MCP21098,Mass Communication & Journalism,Ph.D. in Mass Communication & Journalism,2026-05-06 00:06:00,2026-05-06 00:41:00,0.5833333333333334,0
2025-12-29,EDM20259,Education,M. A. in Education,2026-05-06 17:47:00,2026-05-06 23:53:00,6.1,17
2025-02-02,SOP22027,Sociology,Ph.D. in Sociology,2026-05-06 23:10:00,2026-05-06 03:00:00,-20.166666666666668,23
2024-07-15,ECP21111,Electronics & Communication Engineering,Ph.D. in Electronics & Communication Engineering,2026-05-06 02:28:00,2026-05-06 03:00:00,0.5333333333333333,2
2026-03-28,MEM20045,Mechanical Engineering,M. Tech in Mechanical Engineering,2026-05-06 09:16:00,2026-05-06 15:57:00,6.683333333333334,9
2025-08-19,ESP25214,Environmental Sciences,Ph.D. in Environmental Sciences,2026-05-06 09:28:00,2026-05-06 16:27:00,6.983333333333333,9
2025-09-24,SWP25079,Social Work,Ph.D. in Social Work,2026-05-06 21:08:00,2026-05-06 23:06:00,1.9666666666666666,21
2026-03-11,MSB21082,Mathematical Sciences,Integrated B.Sc.B.Ed. (Mathematics Major),2026-05-06 18:17:00,2026-05-06 22:20:00,4.05,18
2025-04-16,BAT22148,Business Administration,Master of Tourism & Travel Management,2026-05-06 17:07:00,2026-05-06 22:18:00,5.183333333333334,17
2025-05-11,ASM23284,Assamese,M.A. in Assamese,2026-05-06 02:22:00,2026-05-06 03:00:00,0.6333333333333333,2
2024-12-03,HIP20165,Hindi,Ph.D. in Hindi,2026-05-06 16:45:00,2026-05-06 18:41:00,1.9333333333333333,16
2025-09-09,MBM23264,Molecular Biology & Biotechnology,M. Sc. in Molecular Biology and Biotechnology,2026-05-06 11:28:00,2026-05-06 13:46:00,2.3,11
2024-11-27,COP24039,Commerce,Ph.D. in Commerce,2026-05-06 15:44:00,2026-05-06 21:27:00,5.716666666666667,15
2025-05-02,MBM24277,Molecular Biology & Biotechnology,M. Sc. in Molecular Biology and Biotechnology,2026-05-06 11:08:00,2026-05-06 15:31:00,4.383333333333334,11
2026-04-28,EDM20101,Education,M. A. in Education,2026-05-06 14:56:00,2026-05-06 16:52:00,1.9333333333333333,14
2024-07-17,EEP20135,Electrical Engineering,Ph.D. in Electrical Engineering,2026-05-06 10:30:00,2026-05-06 15:31:00,5.016666666666667,10
2025-12-31,SOP24062,Sociology,Ph.D. in Sociology,2026-05-06 17:22:00,2026-05-06 22:19:00,4.95,17
2026-01-26,ASP22299,Assamese,Ph.D. in Assamese,2026-05-06 12:41:00,2026-05-06 17:22:00,4.683333333333334,12
2026-04-27,EDT21297,Electronics & Communication Engineering,M. Tech. in Electronics Design & Technology,2026-05-06 23:53:00,2026-05-06 03:00:00,-20.883333333333333,23
2025-04-01,BAM23104,Business Administration,MBA (Executive) – Online/Part -time,2026-05-06 21:40:00,2026-05-06 00:02:00,-21.633333333333333,21
2024-09-26,APP21184,Applied Sciences,Ph.D. in Applied Sciences,2026-05-06 11:18:00,2026-05-06 15:58:00,4.666666666666667,11
2026-02-01,MRP25163,Multidisciplinary Research,Ph.D. in Multidisciplinary Research,2026-05-06 16:51:00,2026-05-06 21:21:00,4.5,16
2026-04-04,SWM20161,Social Work,M. A. in Social Work,2026-05-06 20:47:00,2026-05-06 01:07:00,-19.666666666666668,20
2025-05-27,BAP24091,Business Administration,Ph.D. in Business Administration,2026-05-06 13:33:00,2026-05-06 20:56:00,7.383333333333334,13
2026-02-14,FET25012,Food Engineering & Technology,M. Tech. in Food Engineering & Technology,2026-05-06 01:35:00,2026-05-06 03:00:00,1.4166666666666667,1
2025-03-18,EDB24211,Education,B. Ed.,2026-05-06 20:31:00,2026-05-06 02:42:00,-17.816666666666666,20
2025-10-24,EDT25237,Electronics & Communication Engineering,M. Tech. in Electronics Design & Technology,2026-05-06 23:12:00,2026-05-06 03:00:00,-20.2,23
2025-03-08,BAM20070,Business Administration,MBA (Executive) – Online/Part -time,2026-05-06 22:36:00,2026-05-06 01:33:00,-21.05,22
2024-05-24,SOM22025,Sociology,M.A. in Sociology,2026-05-06 17:22:00,2026-05-06 22:29:00,5.116666666666666,17
2025-11-14,FET25012,Food Engineering & Technology,M. Tech. in Food Engineering & Technology,2026-05-06 19:24:00,2026-05-06 02:07:00,-17.283333333333335,19
2024-08-28,MSI20156,Mathematical Sciences,Integrated M. Sc. in Mathematics,2026-05-06 15:49:00,2026-05-06 17:45:00,1.9333333333333333,15
2026-02-10,EGE24099,English,M. A. in English,2026-05-06 14:53:00,2026-05-06 21:07:00,6.233333333333333,14
2025-07-03,FEB20140,Food Engineering & Technology,B. Tech. in Food Engineering and Technology,2026-05-06 17:51:00,2026-05-06 19:22:00,1.5166666666666666,17
2025-01-19,CSM22121,Computer Science & Engineering,Master of Computer Application  (MCA),2026-05-06 23:11:00,2026-05-06 01:15:00,-21.933333333333334,23
2024-06-23,ECS20085,Electronics & Communication Engineering,M. Tech. in Semiconductor Technology,2026-05-06 01:35:00,2026-05-06 03:00:00,1.4166666666666667,1
2024-06-02,PHP23083,Physics,Ph.D. in Physics,2026-05-06 09:26:00,2026-05-06 10:07:00,0.6833333333333333,9
2025-01-09,SOP21090,Sociology,Ph.D. in Sociology,2026-05-06 11:29:00,2026-05-06 14:35:00,3.1,11
2025-10-21,FET22096,Food Engineering & Technology,M. Tech. in Food Engineering & Technology,2026-05-06 11:15:00,2026-05-06 17:41:00,6.433333333333334,11
2026-02-24,WSP23067,Women Study,Ph.D. in Women Study,2026-05-06 10:37:00,2026-05-06 13:41:00,3.066666666666667,10
2025-07-14,ASP22299,Assamese,Ph.D. in Assamese,2026-05-06 15:24:00,2026-05-06 20:15:00,4.85,15
2026-04-20,MCP24253,Mass Communication & Journalism,Ph.D. in Mass Communication & Journalism,2026-05-06 18:27:00,2026-05-06 22:30:00,4.05,18
2026-01-14,LLP25002,Linguistics and Language Technology,Ph.D. in Linguistics and Language Technology,2026-05-06 17:12:00,2026-05-06 21:38:00,4.433333333333334,17
2025-07-16,CHM21095,Chemical Sciences,M. Sc. in Chemistry,2026-05-06 02:00:00,2026-05-06 03:00:00,1.0,2
2024-12-24,HIP20165,Hindi,Ph.D. in Hindi,2026-05-06 12:29:00,2026-05-06 15:25:00,2.933333333333333,12
2025-09-01,DEM21017,Design,Master of Design,2026-05-06 10:43:00,2026-05-06 16:36:00,5.883333333333334,10
2025-07-16,MSB21082,Mathematical Sciences,Integrated B.Sc.B.Ed. (Mathematics Major),2026-05-06 11:40:00,2026-05-06 12:18:00,0.6333333333333333,11
2025-01-22,PHP23122,Physics,Ph.D. in Physics,2026-05-06 22:04:00,2026-05-06 22:56:00,0.8666666666666667,22
2025-12-21,CTM25173,Cultural Studies,M.A. in Cultural Studies,2026-05-06 00:14:00,2026-05-06 01:16:00,1.0333333333333334,0
2026-03-15,ENE24152,Energy,M. Tech in Energy Technology,2026-05-06 22:41:00,2026-05-06 02:44:00,-19.95,22
2024-10-28,HIM20093,Hindi,M. A. in Hindi,2026-05-06 14:16:00,2026-05-06 20:48:00,6.533333333333333,14
2026-04-27,HIP20165,Hindi,Ph.D. in Hindi,2026-05-06 12:11:00,2026-05-06 18:33:00,6.366666666666666,12
2025-10-13,MCM23223,Mass Communication & Journalism,M. A. in Mass Communication & Journalism,2026-05-06 16:35:00,2026-05-06 19:45:00,3.1666666666666665,16
2025-05-01,CHM23087,Chemical Sciences,M. Sc. in Chemistry,2026-05-06 18:18:00,2026-05-06 19:35:00,1.2833333333333334,18
2024-10-30,FLB21260,Linguistics and Language Technology,BA in Chinese,2026-05-06 15:52:00,2026-05-06 23:39:00,7.783333333333333,15
2025-07-13,BAT21215,Business Administration,Master of Tourism & Travel Management,2026-05-06 10:38:00,2026-05-06 18:37:00,7.983333333333333,10
2025-10-28,CSP25197,Computer Science & Engineering,Ph.D. in Computer Science & Engineering,2026-05-06 13:48:00,2026-05-06 14:25:00,0.6166666666666667,13
2025-05-26,LLP23023,Linguistics and Language Technology,Ph.D. in Linguistics and Language Technology,2026-05-06 14:03:00,2026-05-06 16:27:00,2.4,14
2025-06-01,MEP22142,Mechanical Engineering,Ph.D. in Mechanical Engineering,2026-05-06 00:21:00,2026-05-06 03:00:00,2.65,0
2024-09-20,EGL22151,Linguistics and Language Technology,M. A. in Linguistics & Languages Technology,2026-05-06 21:37:00,2026-05-06 23:37:00,2.0,21
2024-09-20,CSE22231,Computer Science & Engineering,M. Tech. in Data Science,2026-05-06 18:48:00,2026-05-06 22:31:00,3.716666666666667,18
2024-05-07,DEM21290,Design,Master of Design,2026-05-06 14:02:00,2026-05-06 15:38:00,1.6,14
2025-07-26,EEB24224,Electrical Engineering,B. Tech. in Electrical Engineering,2026-05-06 02:17:00,2026-05-06 03:00:00,0.7166666666666667,2
2026-02-10,FEB20005,Food Engineering & Technology,B. Tech. in Food Engineering and Technology,2026-05-06 11:05:00,2026-05-06 11:42:00,0.6166666666666667,11
2025-12-02,CTM25187,Cultural Studies,M.A. in Cultural Studies,2026-05-06 10:34:00,2026-05-06 14:59:00,4.416666666666667,10
2024-05-13,CTP23171,Cultural Studies,Ph.D. in Cultural Studies,2026-05-06 14:51:00,2026-05-06 17:55:00,3.066666666666667,14
2025-03-25,CTP24263,Cultural Studies,Ph.D. in Cultural Studies,2026-05-06 15:33:00,2026-05-06 18:38:00,3.0833333333333335,15
